tweet,date,city,user_location,id,link
Giro de Italia EN VIVO: transmisión en directo online etapa 5 entre Modena y Cattolica https://t.co/MyoXo9QHkP https://t.co/b0o2Xt7tHn,2021-05-12 10:05:05,Medellín,"Medellín, Colombia",1392420558197907458,https://twitter.com/i/web/status/1392420558197907458
"Se corrió la primera etapa con montaña en el Giro de Italia. En Hora 13 Noticias tenemos el resumen de la jornada.

https://t.co/cBnlmlu23n",2021-05-11 21:05:10,Medellín,Medellín,1392224285457014785,https://twitter.com/i/web/status/1392224285457014785
"Lluvia, fuga y batalla con diferencias entre los candidatos al título. Lo que pasó en la etapa 4 del Giro de Italia, a mi estilo, en: https://t.co/GpvgVrGUqD",2021-05-11 20:57:39,Medellín,Medellín,1392222392391512065,https://twitter.com/i/web/status/1392222392391512065
"Así quedaron los colombianos en la etapa 3 del Giro de Italia 2021: clasificación y posiciones

https://t.co/YBs6EBNHbE",2021-05-11 18:25:27,Medellín,Medellín,1392184092947623937,https://twitter.com/i/web/status/1392184092947623937
"#Giro104 🇮🇹
Joseph Dombrowski ganó la cuarta etapa del Giro de Italia. 
🇨🇴 11. Egan Bernal
🇨🇴 30. Daniel Martínez
🇨🇴 41. Harold Tejada
🇨🇴 70. Einer Rubio
#WbeimarLoDice https://t.co/Sz5WH0aJex",2021-05-11 15:50:52,Medellín,"Medellín, Colombia",1392145187992899588,https://twitter.com/i/web/status/1392145187992899588
"#Giro104 🇮🇹
Joseph Dombrowski ganó la cuarta etapa del Giro de Italia. 
🇨🇴 11. Egan Bernal
🇨🇴 30. Daniel Martínez
🇨🇴 41. Harold Tejada
🇨🇴 70. Einer Rubio
#WbeimarLoDice https://t.co/4AGQpHbJxI",2021-05-11 15:50:40,Medellín,"MEDELLÍN, COLOMBIA",1392145140664373248,https://twitter.com/i/web/status/1392145140664373248
#pactociudadano Que bien‼️ @Eganbernal🤙🏼🙏🏼buena carrera hoy🤙🏼 Giro de Italia. Bendiciones 🙏🏼🤙🏼siempre adelante!,2021-05-11 15:24:41,Medellín,"Medellín, Colombia",1392138601010499590,https://twitter.com/i/web/status/1392138601010499590
Muy buena la parte final de la 4 etapa del Giro de Italia 2021 🇮🇹 con Egan Bernal siendo protagonista  #ElGiroPorCaracol #GIROxESPN #giroditalia,2021-05-11 15:23:03,Medellín,"Medellin, Colombia",1392138190622953481,https://twitter.com/i/web/status/1392138190622953481
"Esas bicicletas CUBE como que siempre me habían parecido bicis chinas de baja calidad (uno las encontraba extrañamente baratas por ahí), pero ahora que las veo en Giro de Italia (son alemanas a la altura de una canyon), se me antojan. Lo que hace la publicidad ome 🥲",2021-05-11 13:54:47,Medellín,Medellín,1392115974111997956,https://twitter.com/i/web/status/1392115974111997956
@contracomu Ya estoy viendo El Giro de Italia. Jaja. Desde las 5 creo,2021-05-11 11:03:32,Medellín,,1392072879366410241,https://twitter.com/i/web/status/1392072879366410241
